OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,FACILITYID,LOCDESC,OBJECTID_hydstra,station
146,146,24,19291.91438,146,{39F60971-71F5-4FB5-A552-55C3B268E8F1},SC06-146-2 (M00P02),M00P02,24,PALISADES
147,147,24,19509.46395,147,{839E2352-454E-4F0A-8BF2-3ECBF7506A2F},SC06-146-1 (M00P02),Drains to M00P02,24,PALISADES
148,148,24,17929.15764,148,{98B44F39-2446-4B60-A2A7-E75C37BDE055},SC12-068-2,,24,PALISADES
149,149,24,16807.81288,149,{5554CB30-DBF5-4F05-9145-3024520F5CD4},M00.2-066-1 (M00S07),LINDAL (M00S07),24,PALISADES
150,150,24,15515.00512,150,{A2113BD2-E7F8-4615-AFBC-AF2B7E1EC548},SC07-079-3,South Buena Vista,24,PALISADES
151,151,24,16118.50144,151,{03864DBD-D87D-474A-A6EE-7F78E41DD1AA},SC07-079-5,2 circular drains side by side ,24,PALISADES
152,152,24,15297.51033,152,{7AFC321A-E853-409E-BFDE-E9A62C3DA738},SC07-079-2,,24,PALISADES
153,153,24,14843.67625,153,{E1BCCE8D-F028-4D0E-A3FB-C2411D34F0A2},SC07-079-1,,24,PALISADES
154,154,24,12703.22357,154,{C05A5DC6-D4EB-49A6-9228-7A922FA90F1E},M02-102-1,PICO,24,PALISADES
155,155,24,12884.22452,155,{84D2E4CD-DA3B-475D-8074-11942B78F73F},M02-061-3,,24,PALISADES
156,156,24,12892.68622,156,{C461CAC3-1849-40E8-B3F7-D3281D347977},M02-061-4 (SCBS@M02),SCBS@M02,24,PALISADES
157,157,24,12833.22555,157,{CDF7BCAC-53C5-4BB5-A35D-E02581964FBA},M02-061-5,,24,PALISADES
158,158,24,12712.45822,158,{EC5901D7-35FC-4050-9794-9A9E94520BB5},M02-142-1,,24,PALISADES
159,159,24,8103.718109,159,{7E285DCF-C197-4473-A6A6-DE27863098BF},M01-060-3,,24,PALISADES
160,160,24,8963.527917,160,{D81C1D29-E0B6-4468-A3DA-A14172F34DD5},M01-042-1 (M01S01),M01S01 - Calle de los Arboles below Camino Vera Cruz,24,PALISADES
161,161,24,6542.840668,161,{1C1ED926-B02C-46E3-9A81-FBF1EAD24B72},M01-168-2 (M00P03),M00P03,24,PALISADES
162,162,24,6237.53785,162,{646E3C9A-8C7B-4F6E-9309-F55401464054},M01-168-1 (M00P03),M00P03,24,PALISADES
163,163,24,5460.170977,163,{A312578F-E3A9-4101-A4A6-AD6BB12708E1},SC10-075-1 (M00P05),M00P05,24,PALISADES
164,164,24,16418.52549,164,{F86F746E-958B-4AF4-8B9D-F230E1352261},M02-086-1,Cristianos Trail,24,PALISADES
165,165,24,16826.31625,165,{28818406-BBEA-4536-A70B-7DEA94341A5E},M02-013-1,,24,PALISADES
166,166,24,17986.96961,166,{03183051-E618-4786-976E-4427B2790756},L01-551-1,,24,PALISADES
167,167,24,16859.61331,167,{F283626A-51CD-43CB-A8FF-746A67B87B2B},L01-749-3,,24,PALISADES
168,168,24,16818.80419,168,{DB892315-C6C6-4493-889A-BD642E17B637},L01-749-2,Calle Arroyo and Via Cordova,24,PALISADES
169,169,24,15584.71066,169,{4FE0C734-3649-4717-871F-7A7EB924A050},L01-556-1,,24,PALISADES
170,170,24,15148.99613,170,{A91AE436-24A4-4432-8197-13B5F01E53A6},L01-748-1,,24,PALISADES
171,171,24,15154.02325,171,{DBC981FA-992C-4171-A16D-E171B6935A16},L01-748-2,,24,PALISADES
172,172,24,14219.889,172,{DB6B9824-56ED-459B-A97E-F9966647E89B},L01-618-5 (L01S09),L01S09,24,PALISADES
173,173,24,14399.21645,173,{6CAF875E-8955-448F-B3BC-D7F75183DDDE},L01-618-4,,24,PALISADES
174,174,24,14038.30316,174,{A981599B-D002-446E-B808-453E58ACEA12},L01-618-3,,24,PALISADES
175,175,24,13648.0324,175,{DBB6D67B-D85C-4FC2-AE21-A7AD70D991C8},L01-618-2,,24,PALISADES
176,176,24,13490.68527,176,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},L01-618-1,,24,PALISADES
177,177,24,12871.40337,177,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},L01-602-2,,24,PALISADES
178,178,24,12957.21914,178,{45E42539-22FE-47B1-80D2-DE144922602E},L01-602-1,Horno Creek,24,PALISADES
179,179,29,19941.02712,179,{A19EAA15-EFE3-4256-BE52-69B21F7C5819},L05-501-1,,29,SULPHURCREEK
180,180,29,20106.41336,180,{C67D9F1A-CDF8-4F03-A0B0-9EAF87AA4EAF},L05-501-2,,29,SULPHURCREEK
181,181,24,11293.23616,181,{2A3C4022-F5F9-4E4D-864F-F04AB86095CF},L01-766-7,,24,PALISADES
182,182,24,10958.28961,182,{713F280E-D60D-457F-AD68-B773F3C5CDDF},L01-766-6,,24,PALISADES
183,183,24,11143.78066,183,{63E80B56-44CC-47BE-96A0-96E180F51F4A},L02-571-1,,24,PALISADES
184,184,24,12593.24677,184,{3871EFB2-8754-476F-9342-3419290C4138},L02-571-3,,24,PALISADES
185,185,24,13053.93566,185,{F39B19F1-CBD7-4F94-AB4E-94B3789804EF},L02-571-4,,24,PALISADES
186,186,24,13446.77119,186,{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},L02-571-5 (L02TBN2),L02TBN2,24,PALISADES
187,187,24,13567.69855,187,{80D3DC2F-82C1-41D7-B291-FBE03B0CC399},L02-541-2,,24,PALISADES
188,188,24,13913.60351,188,{C271BCF6-83EC-4B1C-99A1-AFAB061AC340},L02-541-3,,24,PALISADES
189,189,24,14246.40869,189,{610DC3A7-793E-4344-A914-88E70E636144},L02-541-7,,24,PALISADES
190,190,24,13977.75656,190,{9B137065-873A-458C-A254-D80DF373BFD0},L02-541-4,,24,PALISADES
191,191,24,14158.18382,191,{182F8328-651A-4982-91BA-8A69837B2509},L02-541-6,,24,PALISADES
192,192,24,15197.3728,192,{CA63B735-E475-40BF-8F64-40F31CAA24AB},L02-541-8,,24,PALISADES
193,193,24,15747.09592,193,{6FE5A355-7E45-4A1E-8A7B-8CD7AB8F0640},L02-541-9 (L02P02),L02P02,24,PALISADES
194,194,24,10149.93074,194,{318F725A-895C-4980-B214-CEAEA72603EF},L01-766-5,,24,PALISADES
195,195,24,10330.82921,195,{48ACB168-9928-43C5-AAD8-5119F46F8CD3},L01-766-4,San Juan Creek Trail,24,PALISADES
196,196,24,10235.0158,196,{36C58593-1762-4673-9666-5809B7EDC846},L01-766-3,,24,PALISADES
197,197,24,10544.42771,197,{6B1E2EC8-33C0-45FC-B9F2-95DAAD8E87F9},L01-766-2 (L01S06),L01S06 - Via Madrigal,24,PALISADES
198,198,24,6437.753071,198,{012EA2FE-F094-492D-B478-80FE452D665E},SC11-035-3,DSB-1,24,PALISADES
199,199,63,5915.148696,199,{B78EC74F-A747-44FA-912E-322770E225AB},SC11-035-2,DSB-2,63,DANAPOINT
200,200,63,5440.660424,200,{BB72D368-BD4C-45B2-9A41-9BC71B7411AF},SC11-035-1,DSB-3,63,DANAPOINT
201,201,42,17665.52783,201,{7E85DDAA-CD3F-482E-A911-5A9143B073EB},DP02-12131-1,,42,LAGUNABEACH
202,202,63,15320.85904,202,{D129CA3E-F49B-479B-AFAA-8D06181307FB},DP05-12190-1,,63,DANAPOINT
