JURISDICTI3,QJur_US,Sample Type,Parameter,ResultJuris,Units,LoadQUns,LoadsPoundsQUns
ORANGE CO,40026133.00551573,Total,"Zinc, Total",17.8739837398374,ug/L,715426450.5091573,44.66257719222937
ORANGE CO,40026133.00551573,Dissolved,"Zinc, Total",17.8739837398374,ug/L,715426450.5091573,44.66257719222937
ORANGE CO,40026133.00551573,Total,"Ammonia, as Nitrogen",0.19061904761904763,mg/L,7629743.353384738,476.30892209105303
ORANGE CO,40026133.00551573,Dissolved,"Ammonia, as Nitrogen",0.19061904761904763,mg/L,7629743.353384738,476.30892209105303
ORANGE CO,40026133.00551573,Total,Chloride,177.14285714285714,mg/L,7090343560.977073,442635.3210538889
ORANGE CO,40026133.00551573,Dissolved,Chloride,177.14285714285714,mg/L,7090343560.977073,442635.3210538889
ORANGE CO,40026133.00551573,Total,Nitrate + Nitrite as N,1.386607142857143,mg/L,55500521.92639816,3464.7815201446047
ORANGE CO,40026133.00551573,Dissolved,Nitrate + Nitrite as N,1.386607142857143,mg/L,55500521.92639816,3464.7815201446047
ORANGE CO,40026133.00551573,Total,"Nitrogen, Total Kjeldahl",0.5705555555555556,mg/L,22837132.55370259,1425.6744278926558
ORANGE CO,40026133.00551573,Dissolved,"Nitrogen, Total Kjeldahl",0.5705555555555556,mg/L,22837132.55370259,1425.6744278926558
ORANGE CO,40026133.00551573,Total,Orthophosphate as P,0.10051724137931035,mg/L,4023316.472795806,251.16723376264193
ORANGE CO,40026133.00551573,Dissolved,Orthophosphate as P,0.10051724137931035,mg/L,4023316.472795806,251.16723376264193
ORANGE CO,40026133.00551573,Dissolved,pH,0,NA,0,NA
ORANGE CO,40026133.00551573,Total,pH,0,NA,0,NA
ORANGE CO,40026133.00551573,Total,Phosphorus as PO4,0.49124999999999996,mg/L,19662837.8389596,1227.5098469952097
ORANGE CO,40026133.00551573,Dissolved,Phosphorus as PO4,0.49124999999999996,mg/L,19662837.8389596,1227.5098469952097
ORANGE CO,40026133.00551573,Total,SpecificConductivity,1351.7857142857142,NA,54106754794.956085,NA
ORANGE CO,40026133.00551573,Dissolved,SpecificConductivity,1351.7857142857142,NA,54106754794.956085,NA
ORANGE CO,40026133.00551573,Total,Sulfate,326.07142857142856,mg/L,13051378369.298521,814770.2583108882
ORANGE CO,40026133.00551573,Dissolved,Sulfate,326.07142857142856,mg/L,13051378369.298521,814770.2583108882
ORANGE CO,40026133.00551573,Total,Total Dissolved Solids,907.5,mg/L,36323715702.50552,2267613.6104797004
ORANGE CO,40026133.00551573,Dissolved,Total Dissolved Solids,907.5,mg/L,36323715702.50552,2267613.6104797004
ORANGE CO,40026133.00551573,Total,VSS,1.9699074074074074,mg/L,78847775.89743955,4922.301761346356
ORANGE CO,40026133.00551573,Dissolved,VSS,1.9699074074074074,mg/L,78847775.89743955,4922.301761346356
ORANGE CO,40026133.00551573,Total,TSS,3.442528735632184,mg/L,137791113.0477237,8602.011036239137
ORANGE CO,40026133.00551573,Dissolved,TSS,3.442528735632184,mg/L,137791113.0477237,8602.011036239137
ORANGE CO,40026133.00551573,Total,E. coli,659.530303030303,CFU/100 mL,26398447630.259003,7475195618565.182
ORANGE CO,40026133.00551573,Dissolved,E. coli,659.530303030303,CFU/100 mL,26398447630.259003,7475195618565.182
ORANGE CO,40026133.00551573,Total,Enterococcus,2014.655172413793,CFU/100 mL,80638855891.28471,22834343545023.313
ORANGE CO,40026133.00551573,Dissolved,Enterococcus,2014.655172413793,CFU/100 mL,80638855891.28471,22834343545023.313
ORANGE CO,40026133.00551573,Total,Fecal coliforms,988.1142857142858,CFU/100 mL,39550393824.65018,11199405918538.543
ORANGE CO,40026133.00551573,Dissolved,Fecal coliforms,988.1142857142858,CFU/100 mL,39550393824.65018,11199405918538.543
ORANGE CO,40026133.00551573,Total,Total Coliforms,49854.7619047619,CFU/100 mL,1995493330958.3186,565059855540805.1
ORANGE CO,40026133.00551573,Dissolved,Total Coliforms,49854.7619047619,CFU/100 mL,1995493330958.3186,565059855540805.1
ORANGE CO,40026133.00551573,NA,NA,NA,NA,NA,NA
SAN CLEMENTE,28199627.98556452,Total,"2,4'-DDD",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Dissolved,"2,4'-DDD",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Total,"2,4'-DDE",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Dissolved,"2,4'-DDE",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Total,"2,4'-DDT",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Dissolved,"2,4'-DDT",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Total,"4,4'-DDD",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Dissolved,"4,4'-DDD",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Total,"4,4'-DDE",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Dissolved,"4,4'-DDE",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Total,"4,4'-DDT",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Dissolved,"4,4'-DDT",0.4444444444444444,ng/L,12533167.99358423,7.824194682461902e-4
SAN CLEMENTE,28199627.98556452,Total,Acenaphthene,1.0416666666666667,ng/L,29374612.48496304,0.0018337956287020085
SAN CLEMENTE,28199627.98556452,Dissolved,Acenaphthene,1.0416666666666667,ng/L,29374612.48496304,0.0018337956287020085
SAN CLEMENTE,28199627.98556452,Total,Acenaphthylene,1.0416666666666667,ng/L,29374612.48496304,0.0018337956287020085
SAN CLEMENTE,28199627.98556452,Dissolved,Acenaphthylene,1.0416666666666667,ng/L,29374612.48496304,0.0018337956287020085
SAN CLEMENTE,28199627.98556452,Total,Aldrin,1.1111111111111112,ng/L,31332919.983960576,0.0019560486706154756
SAN CLEMENTE,28199627.98556452,Dissolved,Aldrin,1.1111111111111112,ng/L,31332919.983960576,0.0019560486706154756
SAN CLEMENTE,28199627.98556452,Total,Anthracene,1.1111111111111112,ng/L,31332919.983960576,0.0019560486706154756
SAN CLEMENTE,28199627.98556452,Dissolved,Anthracene,1.1111111111111112,ng/L,31332919.983960576,0.0019560486706154756
SAN CLEMENTE,28199627.98556452,Total,Azinphos Methyl,2.2222222222222223,ng/L,62665839.96792115,0.003912097341230951
SAN CLEMENTE,28199627.98556452,Dissolved,Azinphos Methyl,2.2222222222222223,ng/L,62665839.96792115,0.003912097341230951
SAN CLEMENTE,28199627.98556452,Total,Benz[a]anthracene,1.1111111111111112,ng/L,31332919.983960576,0.0019560486706154756
SAN CLEMENTE,28199627.98556452,Dissolved,Benz[a]anthracene,1.1111111111111112,ng/L,31332919.983960576,0.0019560486706154756
SAN CLEMENTE,28199627.98556452,Total,Benzo[a]pyrene,1.0416666666666667,ng/L,29374612.48496304,0.0018337956287020085
