FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall
J01-9992-1 (J01P27),ALISO VIEJO,0.018,0.165159,0.032812596666666666,0.11395970999999999,0.032812596666666666,2835.008352,0.002,NA,172.79999999999998,NA,NA,172.79999999999998
LC06-11509-2,LAGUNA BEACH,0.0055,0.045629,0.092214335,0.03148401,0.092214335,7967.318544,NA,NA,NA,NA,NA,7967.318544
I01-11023-2,LAGUNA BEACH,0.002,2.04e-4,0,1.4076e-4,0,0,NA,NA,NA,NA,NA,0
L03-240-1 (L03P14),MISSION VIEJO,0.0185,0.025068,0.014,0.01729692,0.014,1209.6,NA,NA,NA,NA,NA,1209.6
M02-061-6,SAN CLEMENTE,0,0.010425,0.006178949999999999,0.00719325,0.006178949999999999,533.8612799999999,NA,NA,NA,NA,NA,533.8612799999999
J07-9109-2,MISSION VIEJO,NA,0.068072,NA,0.04696967999999999,0.04696967999999999,4058.1803519999994,NA,NA,NA,NA,NA,4058.1803519999994
M02-085-1 (M02P06),SAN CLEMENTE,0.01575,0.069651,0.05298186,0.04805919,0.05298186,4577.632704,NA,0.05750347222222222,NA,4968.299999999999,4772.9663519999995,4772.9663519999995
L02-166-3 (L02P26),RANCHO SANTA MARGARITA,0.0468,0.166774,0.055444393333333335,0.11507405999999999,0.055444393333333335,4790.395584,NA,0.04134722222222222,NA,3572.3999999999996,4181.397792,4181.397792
L01-404-1,ORANGE CO,0.03475,0.0852,0.0435,0.05878799999999999,0.0435,3758.3999999999996,NA,0.025203125,NA,2177.55,2967.975,2967.975
M01-050-4 (M01@CGV),SAN CLEMENTE,0.012,0.062131,0.065482035,0.042870389999999994,0.065482035,5657.647823999999,NA,0.03699420307291667,NA,3196.2991455,4426.973484749999,4426.973484749999
L03-418-1,LAGUNA NIGUEL,0.007333333333333333,0.063426,0.008696104999999999,0.043763939999999994,0.008696104999999999,751.3434719999999,NA,NA,NA,NA,NA,751.3434719999999
L03-693-1 (L03P11),MISSION VIEJO,0.027333333333333334,0.114855,0.03325967333333334,0.07924995,0.03325967333333334,2873.635776,NA,0.018729166666666668,NA,1618.1999999999998,2245.917888,2245.917888
L03-241-4,MISSION VIEJO,0.007333333333333333,0.012278,0.007,0.00847182,0.007,604.8,NA,NA,NA,NA,NA,604.8
I01-11010-1,LAGUNA BEACH,0.0525,0.044262,0.06275,0.03054078,0.06275,5421.6,NA,NA,NA,NA,NA,5421.6
L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,0.011666666666666667,0.053353,0.0175,0.03681357,0.0175,1512,NA,NA,NA,NA,NA,1512
L01-766-2 (L01S06),SAN JUAN CAPISTRANO,0.015,0.180442,0.14055575999999997,0.12450497999999999,0.14055575999999997,12144.017663999999,NA,0.07058019413541666,NA,6098.128773299999,9121.073218649999,9121.073218649999
SC11-026-1 (M00P01),DANA POINT,0.008,0.092307,0.141325455,0.06369182999999999,0.141325455,12210.519311999999,NA,NA,NA,NA,NA,12210.519311999999
M01-060-3,DANA POINT,0.4,0.766255,0.414446135,0.5287159499999999,0.414446135,35808.146064,NA,NA,NA,NA,NA,35808.146064
M02-085-2,SAN CLEMENTE,0.0295,0.263549,0.39559931,0.18184880999999997,0.39559931,34179.780384,NA,0.22817708333333334,NA,19714.5,26947.140192,26947.140192
K01-12032-2 (K01P11),LAGUNA NIGUEL,0.04,0.095233,0.1344035475,0.06571076999999999,0.1344035475,11612.466504,NA,0.186875,NA,16146,13879.233252,13879.233252
J03-9221-1 (J03P02),LAGUNA NIGUEL,0.0703,0.242793,0.19765333333333332,0.16752717,0.19765333333333332,17077.248,0.178,NA,15379.199999999999,NA,NA,15379.199999999999
L03-662-3 (L03P16),MISSION VIEJO,0.046,0.16059,0.055,0.1108071,0.055,4752,NA,0.041543750000000004,NA,3589.38,4170.6900000000005,4170.6900000000005
J01-9082-3,ALISO VIEJO,0,0.005053,0,0.00348657,0,0,0,NA,0,NA,NA,0
J07-9110-2,MISSION VIEJO,8.888888888888889e-4,0.012035,0.043125,0.00830415,0.043125,3726,0.001,NA,86.39999999999999,NA,NA,86.39999999999999
M01-124-2,SAN CLEMENTE,0.0033333333333333335,0.017809,0.00458229,0.012288209999999997,0.00458229,395.909856,NA,NA,NA,NA,NA,395.909856
L01-125-2,RANCHO SANTA MARGARITA,0.001,0.021,NA,0.01449,0.001,86.39999999999999,NA,NA,NA,NA,NA,86.39999999999999
L01-517-6,ORANGE CO,0.007,0.02934,NA,0.020244599999999998,0.007,604.8,NA,NA,NA,NA,NA,604.8
K01-12155-5,LAGUNA NIGUEL,0.015,0.061386,0.05757118499999999,0.04235634,0.05757118499999999,4974.150383999999,NA,0.012611111111111111,NA,1089.6000000000001,3031.8751919999995,3031.8751919999995
L01-303-5,ORANGE CO,0.006,0.018878,0.03423711,0.013025819999999999,0.03423711,2958.0863040000004,NA,NA,NA,NA,NA,2958.0863040000004
J01-10017-1 (J01TBN4),ALISO VIEJO,0.0021111111111111113,0.016909,0.012066743333333333,0.011667209999999999,0.012066743333333333,1042.566624,NA,NA,NA,NA,NA,1042.566624
L01-766-4,SAN JUAN CAPISTRANO,NA,0.001979,0,0.00136551,0,0,NA,NA,NA,NA,NA,0
J06-10011-1 (J06P01),ALISO VIEJO,0.0042,0.588719,0.31462895999999996,0.40621610999999996,0.31462895999999996,27183.942143999993,NA,NA,NA,NA,NA,27183.942143999993
J01-9007-1 (J02P05),ALISO VIEJO,0.026,0.101998,0.009666666666666667,0.07037862,0.009666666666666667,835.2,0.024,NA,2073.6,NA,NA,2073.6
M00.1-071-3 (M00S04),SAN CLEMENTE,0.008,0.044229,NA,0.030518009999999995,0.008,691.1999999999999,NA,0.014670138888888889,NA,1267.5,979.3499999999999,979.3499999999999
J01-9082-2,ALISO VIEJO,0.022,0.170103,0.06505059666666665,0.11737107,0.06505059666666665,5620.371551999999,0.037,NA,3196.7999999999997,NA,NA,3196.7999999999997
K01-12036-10,LAGUNA NIGUEL,0.001,0.017986,0.06524363999999999,0.012410339999999999,0.06524363999999999,5637.050495999999,NA,0.011220004021657291,NA,969.4083474711899,3303.2294217355943,3303.2294217355943
L01-514-1,ORANGE CO,0.003,0.019417,0.003,0.013397729999999998,0.003,259.2,NA,NA,NA,NA,NA,259.2
J01-9033-1,LAKE FOREST,0.0075,0.007282,0.0075,0.00502458,0.0075,647.9999999999999,NA,NA,NA,NA,NA,647.9999999999999
L02-166-1 (L02PXX),RANCHO SANTA MARGARITA,0.006500000000000001,0.041916,0.01,0.02892204,0.01,864,NA,NA,NA,NA,NA,864
