FACILITYID,ObsRecordDate,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,date,rain_gage,wet_within_72,GlobalID,QInscfsV,QInscfsF,QInscfsFadj,QInscfs,MonitoringYear,QIns_Day,QInscf
I01-11059-2,2023-09-20T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-09-20,LAGUNABEACH,FALSE,{8A75D24A-9302-4837-9C8D-5CEE11DCAB92},0,0,0,0,MY2022-23,0,0
LC03-11515-1,2023-02-09T00:00:00Z,NA,Flowing,Unknown,NA,0.036,NA,2023-02-09,LAGUNABEACH,FALSE,{886775A2-E4C3-48F3-9D28-64111BB5241F},NA,0.036,0.024839999999999997,0.024839999999999997,MY2022-23,2146.176,1504.946304
K01-12138-1 (K01TBN1),2023-06-30T00:00:00Z,NA,Flowing,Yes,NA,0.40795,NA,2023-06-30,SULPHURCREEK,FALSE,{7ED3F0F9-CFEC-4D38-9A33-AE41DCBA38E4},NA,0.40795,0.28148549999999994,0.28148549999999994,MY2022-23,24320.347199999997,12498.19632
J03-9234-6,2023-04-27T00:00:00Z,NA,Flowing,Yes,NA,0.024677,0.081,2023-04-27,SULPHURCREEK,FALSE,{7C898AE5-6408-40A7-9258-052F87B864B0},0.081,0.024677,0.017027129999999998,0.081,MY2022-23,6998.4000000000005,9914.36544
SC11-026-1 (M00P01),2023-08-03T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-03,PALISADES,FALSE,{7BC19F3E-F96A-4680-97D9-CFCD38CE4F28},0,0,0,0,MY2022-23,0,12210.519311999999
J01-9046-1,2023-04-25T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-04-25,ELTORO,FALSE,{7B37BD5E-90A3-4DC7-8721-402EFF48BB71},0,0,0,0,MY2022-23,0,114.16464000000002
LC02-11508-3,2023-08-14T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-14,LAGUNABEACH,FALSE,{7A79C33A-1E84-41B0-AAFC-7A7C54A33C8A},0,0,0,0,MY2022-23,0,0
L01-514-1,2023-06-19T00:00:00Z,NA,Flowing,Yes,NA,NA,0.003,2023-06-19,PALISADES,FALSE,{7A6C6799-AB04-4589-9958-5C84F3951CFC},0.003,NA,NA,0.003,MY2022-23,259.2,259.2
L01-728-8d,2023-05-25T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-05-25,DANAPOINT,FALSE,{7A1311A3-7766-418C-8495-C9A419F65188},0,0,0,0,MY2022-23,0,0
L01-728-8d,2023-08-03T00:00:00Z,NA,Dry,Unknown,NA,0,0,2023-08-03,DANAPOINT,FALSE,{7A1311A3-7766-418C-8495-C9A419F65188},0,0,0,0,MY2022-23,0,0
