Facility.Identifier,avgCnx,PERSISTENTFLOW,avgCnx2,,,,
M00.1-071-3 (M00S04),0.923333333,Yes,Partial,,,,
M00.2-066-1 (M00S07),0,Yes,None,,,,
M01-002-1,0.77,Unknown,Unknown,,,,
M01-003-1,0.77,Unknown,Unknown,,,,
M01-003-2,0.77,Unknown,Unknown,,,,
M01-008-1,0.385,Unknown,Partial,,,,
M01-038-3,0.77,Yes,Unknown,,,,
M01-038-6,0.885,Unknown,Partial,,,,
M01-042-1 (M01S01),0.923333333,Yes,Partial,,,,
M01-047-1,1,Yes,Direct,,,,
M01-050-4 (M01@CGV),1,Yes,Direct,,,,
M01-050-7,0.5,Unknown,Partial,,,,
M01-060-3,0.513333333,Unknown,Partial,,,,
M01-099-1,1,Yes,Direct,,,,
M01-124-2,1,Yes,Direct,,,,
M01-124-4,0,Unknown,None,,,,
M01-168-1d (M00P03),0.885,Unknown,Partial,,,,
M01-168-2d (M00P03),0.385,Unknown,Partial,,,,
M02-013-1,0.77,Yes,Unknown,,,,
M02-015-1,0,Yes,None,,,,
M02-028-2 (M02P08),0.385,Yes,Partial,,,,
M02-032-1,1,Yes,Direct,,,,
M02-052-2,1,Yes,Direct,,,,
M02-052-3,1,Yes,Direct,,,,
M02-052-4,1,Yes,Direct,,,,
M02-061-4 (SCBS@M02),0.885,Yes,Partial,,,,
M02-061-5,0,Unknown,None,,,,
M02-061-6,0.885,Yes,Partial,,,,
M02-061-7,0.77,Yes,Unknown,,,,
M02-085-1 (M02P06),1,Yes,Direct,,,,
M02-085-2,1,Yes,Direct,,,,
M02-086-1,0.77,Unknown,Unknown,,,,
M02-102-1,0,Yes,None,,,,
M02-142-1,0.385,Unknown,Partial,,,,
SC01-077-1,0.75,Yes,Partial,,,,
SC01-077-2,0.77,Unknown,Unknown,,,,
SC02-072-1,0.77,Unknown,Unknown,,,,
SC02-072-4,0.77,Unknown,Unknown,,,,
SC03-067-1,0,Unknown,None,,,,
SC05-073-1,0.385,Unknown,Partial,,,,
SC05-073-3,0.77,Unknown,Unknown,,,,
SC06-146-1 (M00P02),0.77,Yes,Unknown,,,,
SC06-146-2 (M00P02),0,Unknown,None,,,,
SC07-079-4,1,Yes,Direct,,,,
SC07-079-5,0.885,Unknown,Partial,,,,
SC09-081-2d,1,Unknown,Direct,,,,
SC10-075-1 (M00P05),1,Yes,Direct,,,,
SC10-075-3 (M00S01),1,Yes,Direct,,,,
SC11-026-1 (M00P01),0.635,Unknown,Partial,,,,
SC11-035-1d,0.77,Unknown,Unknown,,,,
SC11-035-2d,0.385,Unknown,Partial,,,,
SC11-035-3d,0.385,Unknown,Partial,,,,
SC11-130-2,0.385,Unknown,Partial,,,,
SC12-068-2,0,Unknown,None,,,,
SC12-068-4,0.385,Unknown,Partial,,,,
SM01-086-1 (M03P01),0.885,Yes,Partial,,,,
SM01-086-2,0.77,Unknown,Unknown,,,,
