FACILITYID,AREA,area_acres,JURISDICTI3,acres_juris_soc,AcresJO,sumNA,PERCENTAGE,JURISDICTI2,Acres,JURISDICTI,AcresOb,PERCENT_o
J01-9992-1 (J01P27),552.2218442,553.84107572999994,ALISO VIEJO,4298.475849,3530.302268142,2,99.70754793,ALISO VIEJO,568.0809311,ALISO VIEJO,552.2218442,12.846922109111517
J01-9992-1 (J01P27),1.619720764,553.84107572999994,ORANGE CO,94761.16102,11899.378947256,16,0.292452005,ORANGE CO,1.619726429,ALISO VIEJO,1.619720764,0.0017092664827715088
J03-9215-1,65.12831109,65.12825351,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,65.12940169,LAGUNA NIGUEL,65.12831109,0.688185403077912
J03-9215-3,155.2876962,155.28755892,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,155.2902966,LAGUNA NIGUEL,155.2876962,1.6408643800813374
J03-9216-1 (J03P01),13.41169219,13.41168034,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,13.41191678,LAGUNA NIGUEL,13.41169219,0.14171610842138352
J03-9216-2,1121.61017,1123.28596907,LAGUNA NIGUEL,9463.773977,7019.695595841,3,99.85072453,LAGUNA NIGUEL,1121.628952,LAGUNA NIGUEL,1121.61017,11.851616202224099
J03-9216-2,1.676791419,1123.28596907,SAN JUAN CAPISTRANO,9220.309393,4839.989555273,11,0.149275428,SAN JUAN CAPISTRANO,1.676792619,LAGUNA NIGUEL,1.676791419,0.01818584764924493
J03-9221-1 (J03P02),565.709873,565.70937288,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,565.719346,LAGUNA NIGUEL,565.709873,5.97763507850944
J03-9368-1 (J03TBN1),91.15076265,92.34354303,LAGUNA NIGUEL,9463.773977,7019.695595841,3,98.70823565,LAGUNA NIGUEL,91.152289,LAGUNA NIGUEL,91.15076265,0.9631544759154808
J03-9368-1 (J03TBN1),1.192862129,92.34354303,SAN JUAN CAPISTRANO,9220.309393,4839.989555273,11,1.291764465,SAN JUAN CAPISTRANO,1.192862982,LAGUNA NIGUEL,1.192862129,0.012937332991294345
J03-9368-2 (J03TBN2),34.23125331,34.23122305,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,34.23182653,LAGUNA NIGUEL,34.23125331,0.3617082719134343
J04-9249-1,132.5941657,1643.4542726,ALISO VIEJO,4298.475849,3530.302268142,2,8.068009599,ALISO VIEJO,136.4020962,LAGUNA NIGUEL,132.5941657,3.084678624653591
J04-9249-1,1180.63964,1643.4542726,LAGUNA HILLS,3498.38696,1941.488538748,1,71.83884675,LAGUNA HILLS,1435.670475,LAGUNA NIGUEL,1180.63964,33.74811458821583
J04-9249-1,330.2219199,1643.4542726,LAGUNA NIGUEL,9463.773977,7019.695595841,3,20.09314366,LAGUNA NIGUEL,330.2274496,LAGUNA NIGUEL,330.2219199,3.489325935959005
J05-9255-1 (J05P01),70.04519538,70.04513345,LAGUNA HILLS,3498.38696,1941.488538748,1,100,LAGUNA HILLS,85.17570945,LAGUNA HILLS,70.04519538,2.002214054102237
J05-9800-2,25.47294919,25.47292658,LAGUNA HILLS,3498.38696,1941.488538748,1,100.0000004,LAGUNA HILLS,30.97537965,LAGUNA HILLS,25.47294919,0.7281341224185217
J06-10011-1 (J06P01),139.1233826,935.90125176,ALISO VIEJO,4298.475849,3530.302268142,2,14.86516439,ALISO VIEJO,143.1188236,ALISO VIEJO,139.1233826,3.2365747182775433
