JURISDICTI3,Sample Type,Parameter,Units,LoadsPoundsQUns,LoadQUns_j
SAN CLEMENTE,Dissolved,"4,4'-DDE",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,"4,4'-DDT",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Dissolved,"4,4'-DDT",ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,Acenaphthene,ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Dissolved,Acenaphthene,ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Total,Acenaphthylene,ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Dissolved,Acenaphthylene,ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Total,Aldrin,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,Aldrin,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,Anthracene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,Anthracene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,Azinphos Methyl,ng/L,0.003912097341230951,0.003912097341230951
SAN CLEMENTE,Dissolved,Azinphos Methyl,ng/L,0.003912097341230951,0.003912097341230951
SAN CLEMENTE,Total,Benz[a]anthracene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,Benz[a]anthracene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,Benzo[a]pyrene,ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Dissolved,Benzo[a]pyrene,ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Total,Benzo[b]fluoranthene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,Benzo[b]fluoranthene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,"Benzo[g,h,i]perylene",ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Dissolved,"Benzo[g,h,i]perylene",ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Total,Benzo[k]fluoranthene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,Benzo[k]fluoranthene,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,BHC-alpha,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,BHC-alpha,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,BHC-beta,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,BHC-beta,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,BHC-delta,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,BHC-delta,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,BHC-gamma,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Dissolved,BHC-gamma,ng/L,0.0019560486706154756,0.0019560486706154756
SAN CLEMENTE,Total,Bolstar (Sulprofos),ng/L,0.0015648389364923804,0.0015648389364923804
SAN CLEMENTE,Dissolved,Bolstar (Sulprofos),ng/L,0.0015648389364923804,0.0015648389364923804
SAN CLEMENTE,Total,Chlordane-alpha,ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Dissolved,Chlordane-alpha,ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,Chlordane-gamma,ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Dissolved,Chlordane-gamma,ng/L,7.824194682461902e-4,7.824194682461902e-4
SAN CLEMENTE,Total,Chlorpyrifos,ng/L,3.912097341230951e-4,3.912097341230951e-4
SAN CLEMENTE,Dissolved,Chlorpyrifos,ng/L,3.912097341230951e-4,3.912097341230951e-4
SAN CLEMENTE,Total,Chrysene,ng/L,0.0018337956287020085,0.0018337956287020085
SAN CLEMENTE,Dissolved,Chrysene,ng/L,0.0018337956287020085,0.0018337956287020085
