FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE
K01-12155-5,LAGUNA NIGUEL,147.0481425,147.0456802,100
K01-12156-1,LAGUNA NIGUEL,88.38940682,88.38792673,100
K01-12156-3,LAGUNA NIGUEL,130.1230336,130.1208546,100
K01-12156-4,LAGUNA NIGUEL,1396.375493,1396.352111,98.84312687
K01-12156-4,SAN JUAN CAPISTRANO,16.3431028,16.3430911,1.156873123
K01-12177-1,LAGUNA NIGUEL,512.4400826,512.4315018,100
L00-12094-1 (L00P01),DANA POINT,130.5097173,130.4990412,100
L01-125-1,ORANGE CO,105.2704143,61.93976207,17.10683645
L01-125-1,RANCHO SANTA MARGARITA,300.1362993,300.136314,82.89316367
L01-125-2,ORANGE CO,99.98944818,58.83250935,51.93979406
L01-125-2,RANCHO SANTA MARGARITA,54.43807367,54.43807633,48.06020524
L01-125-3,ORANGE CO,1.253339917,0.737449138,1.064651459
L01-125-3,RANCHO SANTA MARGARITA,68.52926799,68.52927134,98.93535016
L01-218-1,ORANGE CO,1.797130392,1.057408482,1.588868781
L01-218-1,RANCHO SANTA MARGARITA,65.49361383,65.49361704,98.41112993
L01-218-2,RANCHO SANTA MARGARITA,32.56315006,32.56315165,100
L01-218-3,RANCHO SANTA MARGARITA,58.59511326,58.59511613,100
L01-218-4,RANCHO SANTA MARGARITA,37.33154539,37.33154721,100
L01-223-1 (L08TBN1),ORANGE CO,9.96903579,5.865652846,4.285274231
L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,131.0136287,131.0136351,95.71472594
L01-242-1 (L07P16),ORANGE CO,333.6229668,196.2994763,99.65978637
L01-242-1 (L07P16),RANCHO SANTA MARGARITA,0.670117404,0.670117436,0.340213646
L01-261-1,ORANGE CO,253.9420698,149.4162581,99.85129002
L01-261-1,RANCHO SANTA MARGARITA,0.222527793,0.222527803,0.148709977
L01-335-1,ORANGE CO,600.1236162,353.1050416,79.80262992
L01-335-1,RANCHO SANTA MARGARITA,89.36789252,89.36789689,20.19737008
L01-340-1,ORANGE CO,284.5322921,167.4151527,98.78639742
L01-340-1,RANCHO SANTA MARGARITA,2.056714849,2.05671495,1.213602575
L01-372-1,ORANGE CO,199.8939166,117.6150177,100
L01-391-1,ORANGE CO,50.91641536,29.958566,100
L01-391-2,ORANGE CO,21.26183244,12.51018961,100
L01-391-3,ORANGE CO,145.3267646,85.50840504,100
L01-404-1,ORANGE CO,404.1397577,237.7906519,100
L01-414-1,ORANGE CO,70.31918456,41.37490663,100
L01-414-2,ORANGE CO,11.7616036,6.920376761,100
L01-414-3,ORANGE CO,147.6040899,86.84835409,100.0000001
L01-458-1,ORANGE CO,1020.511405,600.4558269,100
L01-471-1,ORANGE CO,542.723915,319.3317933,100
L01-494-1,ORANGE CO,507.6592601,298.7002,100
L01-514-1,ORANGE CO,454.4751233,267.4073357,100
L01-517-1,ORANGE CO,254.0088905,149.4555745,91.33564488
L01-517-1,SAN JUAN CAPISTRANO,14.17778477,14.17777462,8.664355227
L01-517-3,ORANGE CO,891.42923,524.5055299,86.86213464
L01-517-3,SAN JUAN CAPISTRANO,79.33132183,79.33126506,13.13786535
L01-517-6,ORANGE CO,23.5456927,13.85398371,100
L01-517-7,ORANGE CO,241.1832418,141.9091273,100
L01-551-1,ORANGE CO,55.1216653,32.43288115,18.65131823
L01-551-1,SAN JUAN CAPISTRANO,141.457777,141.4576758,81.34868176
L01-556-1,SAN JUAN CAPISTRANO,96.73695538,96.73688615,100
L01-601-1,SAN JUAN CAPISTRANO,10.80021747,10.80020974,100
L01-601-2,SAN JUAN CAPISTRANO,2.627342926,2.627341046,100
L01-602-1,ORANGE CO,3566.715939,2098.60993,74.22406893
L01-602-1,SAN JUAN CAPISTRANO,728.7887122,728.7881907,25.77593107
L01-602-2,SAN JUAN CAPISTRANO,62.42349549,62.42345082,100
L01-618-1,SAN JUAN CAPISTRANO,92.62301918,92.6229529,100
L01-618-2,SAN JUAN CAPISTRANO,399.4927326,399.4924467,100
L01-618-3,SAN JUAN CAPISTRANO,6.928013648,6.92800869,100
L01-618-4,SAN JUAN CAPISTRANO,108.6796238,108.679546,100
L01-618-5 (L01S09),SAN JUAN CAPISTRANO,393.0065817,393.0063004,100
L01-724-1 (L01S01),DANA POINT,102.8862548,102.8778384,36.30009378
L01-724-1 (L01S01),LAGUNA NIGUEL,73.06163303,73.0604096,25.77911591
L01-724-1 (L01S01),SAN JUAN CAPISTRANO,107.4711064,107.4710295,37.92078556
