Accessibility,Facility Identifier,JURISDICTI,Area (Acres),SIZE1,INSPECTED,GlobalID,PERSISTENTFLOW,POINT_Y,POINT_X
Easily accessible,J03-9368-2 (J03TBN2),LAGUNA NIGUEL,34.23122305,60,1,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},Yes,33.5401077,-117.6953827
Easily accessible,J04-9249-1,LAGUNA NIGUEL,1643.454273,NA,1,{43A0D628-01FD-445E-A64B-B954122259BC},Yes,33.55392245,-117.7098633
Difficult accessibility,J05-9255-1 (J05P01),LAGUNA HILLS,70.04513345,36,1,{E4A45859-C01A-4CBC-8954-294275402A42},Yes,33.584603,-117.706386
Difficult accessibility,J05-9271-6,LAGUNA HILLS,NA,36,1,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},Unknown,33.58731405,-117.7044913
Easily accessible,J05-9800-2,LAGUNA HILLS,25.47292658,36,1,{B447E738-FF4A-4052-83BC-409EFD00CC89},Unknown,33.58919536,-117.7015945
Easily accessible,J06-10011-1 (J06P01),ALISO VIEJO,935.9012518,96,1,{7C52C879-6B87-4321-BC5A-53A3242DD1D9},Yes,33.59504096,-117.7157622
Easily accessible,J06-9079-1 (J06P03),ALISO VIEJO,365.7871229,78,1,{53829E67-0A5F-46C8-B493-01AC3AA4C5CD},Yes,33.59226263,-117.7156422
Easily accessible,J07-9022-1,MISSION VIEJO,82.52382766,30,1,{02D8D354-0554-49DF-972A-8BC374B3901B},Yes,33.62678091,-117.6747725
Easily accessible,J07-9022-6,MISSION VIEJO,NA,36,1,{ED29B567-C00D-4966-8303-25068F8D1BA9},Unknown,33.628759,-117.66624
Easily accessible,J07-9109-1,MISSION VIEJO,NA,36,1,{3908761B-6044-44D9-8A7D-054C86F6D560},Yes,33.63979501,-117.6591934
Easily accessible,J07-9109-2,MISSION VIEJO,201.6438928,48,1,{728A2E3D-7087-4CD0-B654-7272B31DFBFB},Yes,33.64157324,-117.6576127
Easily accessible,J07-9109-4 (J07P02),MISSION VIEJO,394.9257483,78,1,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},Yes,33.64644918,-117.6557973
Unsafe accessibility,J07-9110-1,MISSION VIEJO,102.1184919,36,1,{FF27122D-EC98-40FC-AE70-E4A3069DC586},Yes,33.63470136,-117.6635397
Easily accessible,J07-9110-2,MISSION VIEJO,133.3908863,48,1,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},Yes,33.6360887,-117.6622521
Easily accessible,J07-9110-3,MISSION VIEJO,61.67998508,36,1,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},Yes,33.63962029,-117.6592759
Easily accessible,K01-12032-2 (K01P11),LAGUNA NIGUEL,126.8472499,48,1,{E67A1268-C953-4917-B816-D1F3A4A6B507},Yes,33.51685546,-117.7177583
Easily accessible,K01-12036-1,LAGUNA NIGUEL,137.8053185,39,1,{492C91F2-212B-4A73-AC7B-107B61D9565F},Yes,33.5071094,-117.7188933
Easily accessible,K01-12036-10,LAGUNA NIGUEL,185.3716507,54,1,{27FDF89D-E07B-4D2F-B470-DABB97A9B098},Yes,33.51221718,-117.716748
Easily accessible,K01-12036-5,LAGUNA NIGUEL,28.07626103,42,1,{70D2A74D-50ED-4574-A929-01CB7DE7D000},Yes,33.51166906,-117.7180355
Difficult accessibility,K01-12058-1 (K01P08),LAGUNA NIGUEL,329.5213506,72,1,{4C787A96-7840-4AA0-A3A0-EED192734DC5},Yes,33.5113,-117.69462
Difficult accessibility,K01-12058-2 (K01P09),LAGUNA NIGUEL,303.0524952,72,1,{C0A795C3-4CA5-4BFE-8231-8B5C12D45F49},Yes,33.51125335,-117.6946013
Easily accessible,K01-12062-1,LAGUNA NIGUEL,258.8411557,72,1,{DC0E267C-D89F-4834-A9CC-2BD31EFE7608},Yes,33.50914725,-117.6906816
Difficult accessibility,K01-12126-1 (K01S01),DANA POINT,885.2525289,120,1,{4B95CAAB-3599-40EF-9AEE-7EB6755113A0},Yes,33.48403393,-117.7198758
Easily accessible,K01-12138-1 (K01TBN1),LAGUNA NIGUEL,90.83218137,42,1,{7ED3F0F9-CFEC-4D38-9A33-AE41DCBA38E4},Yes,33.5119634,-117.6971046
Easily accessible,K01-12155-1,LAGUNA NIGUEL,63.75808645,36,1,{EBDB95ED-DC08-4DB5-AB03-DFC2113EF527},Unknown,33.49919589,-117.7202203
Inaccessible,K01-12155-5,LAGUNA NIGUEL,147.0455502,48,1,{F833764D-81C4-470D-A336-B65195ACDDC4},Unknown,33.50234645,-117.720053
Difficult accessibility,K01-12156-1,LAGUNA NIGUEL,88.38784859,42,1,{5534FF00-8FE3-41EF-BF46-3A596527C17F},Yes,33.49693715,-117.71287
Unsafe accessibility,K01-12156-3,LAGUNA NIGUEL,130.1207396,39,1,{F7D4DE70-C4F6-4DB8-9F42-612475714A9C},Unknown,33.50412766,-117.709474
Easily accessible,K01-12156-6,LAGUNA NIGUEL,NA,90,1,{6FB4B9E1-BF9D-41E3-9F3C-703D525B54CD},Yes,33.49533383,-117.7149148
Easily accessible,K01-12159-2,DANA POINT,NA,96,1,{65F1D30E-87BC-47F7-B9E2-465FBE713D1F},Yes,33.4824512,-117.7204321
Easily accessible,K01-12159-3,DANA POINT,NA,48,1,{1F0E78FB-3598-45E9-815F-9C59DD96DF84},Yes,33.48259382,-117.7203981
Easily accessible,K01-12177-1 (K01P07),LAGUNA NIGUEL,512.4310488,78,1,{162A0934-2B45-4BAA-AE44-99D3683A47DD},Yes,33.50860089,-117.7073807
Difficult accessibility,L01-125-1,RANCHO SANTA MARGARITA,362.0757556,66,1,{5903AEF4-DE41-446D-A41A-D3014DC8AD95},Yes,33.65133621,-117.5670968
Difficult accessibility,L01-125-2,RANCHO SANTA MARGARITA,113.2704863,45,1,{DD113CF9-A134-4437-879D-CFE4C8EED772},Yes,33.65543421,-117.5592684
Inaccessible,L01-125-3,RANCHO SANTA MARGARITA,69.26665813,42,1,{33F2DC65-D927-4563-A681-F329D3F84B4B},Unknown,33.65525437,-117.5642106
Difficult accessibility,L01-218-1,RANCHO SANTA MARGARITA,66.55096754,42,1,{D9AB8BDF-6FF9-4F23-895B-E154A03243AF},Yes,33.63184411,-117.5632954
Difficult accessibility,L01-218-2,RANCHO SANTA MARGARITA,32.56312287,36,1,{36EB35B0-30D7-472E-B8A6-28D21FB8C159},Yes,33.63335256,-117.5643856
Easily accessible,L01-218-3,RANCHO SANTA MARGARITA,58.59506433,42,1,{25F85F71-7FE3-41F6-8378-9EEFE4D6A956},Yes,33.6382812,-117.5672819
Easily accessible,L01-218-4,RANCHO SANTA MARGARITA,37.33151421,36,1,{D52E55F3-6949-417B-9C1F-389593FDF685},Yes,33.63861941,-117.5692492
Difficult accessibility,L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,136.8791667,60,1,{920D2923-A87E-4A8C-864D-656B0F11E23F},Yes,33.62071568,-117.5646255
Easily accessible,L01-242-1 (L07P16),ORANGE CO,196.9694195,54,1,{05755366-E1F2-43BB-A1D6-AC836A44F681},Yes,33.61466784,-117.5825631
Easily accessible,L01-261-1,ORANGE CO,149.6386536,66,1,{01783387-75A4-429B-918B-074CD3332D70},Yes,33.6130471,-117.5835926
Easily accessible,L01-303-1,ORANGE CO,NA,51,1,{4DB1E7DE-3FD5-4696-8101-98BEA4A83871},Yes,33.58906495,-117.5845432
Inaccessible,L01-303-2,ORANGE CO,NA,56,1,{DAFC646C-2E59-4F16-8AFD-87B9CAE3A703},Yes,33.59293399,-117.5850715
Inaccessible,L01-303-3,ORANGE CO,NA,36,1,{688139FB-EB67-42AA-848F-C55BF48E6B28},Unknown,33.59526175,-117.5840821
Inaccessible,L01-303-4,ORANGE CO,NA,60,1,{DB68879F-B851-41C0-A2C5-D131F57A6ECE},Unknown,33.596022,-117.584659
Difficult accessibility,L01-303-5,ORANGE CO,NA,70,1,{77F01F3D-4632-4CFC-AF1B-CCA5EBF929DB},Yes,33.59975122,-117.5843535
Easily accessible,L01-335-1,ORANGE CO,442.4725473,72,1,{6D056363-053F-45F5-B22A-6CAFD80C097C},Yes,33.57790461,-117.6128526
Easily accessible,L01-335-2,ORANGE CO,NA,36,1,{65AC036E-2F1F-4616-A08A-A4E7B1D38A11},Unknown,33.57739792,-117.6127492
