LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,jurisdicti,acres_juris_soc,objectid,shape_area,acres,percentage
OSDEV,75,Developed Open Space,developed open space,0.217,NEWPORT BEACH,130.0087677517211,139,508460.74513921665,11.67269924215562,8.978357962515814
OSDEV,75,Developed Open Space,developed open space,0.217,ORANGE CO,94761.16101626148,150,203821438.43667388,4679.1150992854355,4.937778656005279
OSDEV,75,Developed Open Space,developed open space,0.217,RANCHO SANTA MARGARITA,8280.210526037783,169,42350254.79935367,972.23196053446,11.741586383018378
OSDEV,75,Developed Open Space,developed open space,0.217,SAN CLEMENTE,11739.016173821115,185,90156148.02669764,2069.7086467486606,17.630952520007074
OSDEV,75,Developed Open Space,developed open space,0.217,SAN JUAN CAPISTRANO,9220.309393249185,204,46313463.52669856,1063.2150776195692,11.531183818429785
OSIRR,76,Developed Open Space,developed open space,0.217,ALISO VIEJO,4298.475848550746,8,14169557.601793502,325.28958402649096,7.567526126246088
OSIRR,76,Developed Open Space,developed open space,0.217,DANA POINT,4071.5603518392577,25,7278682.446212864,167.09622500068858,4.103968556943394
OSIRR,76,Developed Open Space,developed open space,0.217,IRVINE,96.05123754093846,38,61.43356920991662,0.00141032633023256,0.00146830038325304
OSIRR,76,Developed Open Space,developed open space,0.217,LAGUNA BEACH,5632.041056195566,49,1877865.8254513736,43.11003987459159,0.7654395094861962
OSIRR,76,Developed Open Space,developed open space,0.217,LAGUNA HILLS,3498.3869598294223,66,1662114.4395776992,38.15704977170347,1.0906997305271655
OSIRR,76,Developed Open Space,developed open space,0.217,LAGUNA NIGUEL,9463.77397689814,82,16849980.900901638,386.8238820254234,4.087400393074772
OSIRR,76,Developed Open Space,developed open space,0.217,LAGUNA WOODS,756.0075788948667,96,5517319.337227669,126.66073017840282,16.75382986519009
OSIRR,76,Developed Open Space,developed open space,0.217,LAKE FOREST,3303.943394927112,110,9412269.44927602,216.07683880777705,6.539941780874635
OSIRR,76,Developed Open Space,developed open space,0.217,MISSION VIEJO,11525.934391435894,127,33560239.94272276,770.4401786980087,6.684378643633725
OSIRR,76,Developed Open Space,developed open space,0.217,ORANGE CO,94761.16101626148,152,40241179.3425227,923.8140566511244,0.9748829071860596
OSIRR,76,Developed Open Space,developed open space,0.217,RANCHO SANTA MARGARITA,8280.210526037783,171,26079458.865073685,598.7043889628582,7.230516570382249
OSIRR,76,Developed Open Space,developed open space,0.217,SAN CLEMENTE,11739.016173821115,187,42501094.59869751,975.6947796966468,8.311521702281102
OSIRR,76,Developed Open Space,developed open space,0.217,SAN JUAN CAPISTRANO,9220.309393249185,206,13976549.132780138,320.85870154142316,3.479898606686907
OSLOW,77,Open Space,open space,0.078,ALISO VIEJO,4298.475848550746,9,11357637.65557396,260.7365263145288,6.065765926249762
OSLOW,77,Open Space,open space,0.078,DANA POINT,4071.5603518392577,26,5658132.782509029,129.89337500248067,3.190247575989469
OSLOW,77,Open Space,open space,0.078,IRVINE,96.05123754093846,39,2047986.0866103256,47.015479306227,48.94813689876637
OSLOW,77,Open Space,open space,0.078,LAGUNA BEACH,5632.041056195566,50,85712552.23253092,1967.6973159726451,34.93741301879682
OSLOW,77,Open Space,open space,0.078,LAGUNA HILLS,3498.3869598294223,67,5739655.606660489,131.76488901174915,3.7664318860582777
OSLOW,77,Open Space,open space,0.078,LAGUNA NIGUEL,9463.77397689814,83,66213265.6941345,1520.053502020015,16.06174688367082
OSLOW,77,Open Space,open space,0.078,LAGUNA WOODS,756.0075788948667,97,270189.0759516091,6.202712504847457,0.8204531101512696
OSLOW,77,Open Space,open space,0.078,LAKE FOREST,3303.943394927112,111,10102901.010064697,231.9316212532133,7.019814379500669
OSLOW,77,Open Space,open space,0.078,MISSION VIEJO,11525.934391435894,128,18135780.251717035,416.3418915302037,3.612203679327343
OSLOW,77,Open Space,open space,0.078,NEWPORT BEACH,130.0087677517211,141,4378912.327560353,100.52639676910492,77.32247324726232
OSLOW,77,Open Space,open space,0.078,ORANGE CO,94761.16101626148,153,3095730036.3415403,71068.46692605222,74.99716327902856
OSLOW,77,Open Space,open space,0.078,RANCHO SANTA MARGARITA,8280.210526037783,172,126909881.87153947,2913.4616508859026,35.185699540964286
OSLOW,77,Open Space,open space,0.078,SAN CLEMENTE,11739.016173821115,188,88671047.16202888,2035.615285750266,17.340525927861155
OSLOW,77,Open Space,open space,0.078,SAN JUAN CAPISTRANO,9220.309393249185,207,81548407.01912646,1872.1013134465825,20.304023923747113
OSFOR,78,Open Space,open space,0.078,ALISO VIEJO,4298.475848550746,7,29921.864563278108,0.6869142390058639,0.01598035014162639
OSFOR,78,Open Space,open space,0.078,DANA POINT,4071.5603518392577,24,273095.4639081637,6.269434258340141,0.15398050474177755
OSFOR,78,Open Space,open space,0.078,LAGUNA BEACH,5632.041056195566,48,4064436.058392072,93.3069861383168,1.6567104532752448
OSFOR,78,Open Space,open space,0.078,LAGUNA HILLS,3498.3869598294223,65,38464.60666472059,0.8830293967770622,0.02524094317759698
OSFOR,78,Open Space,open space,0.078,LAGUNA NIGUEL,9463.77397689814,81,3182193.5994446967,73.05340514823878,0.7719236861873406
OSFOR,78,Open Space,open space,0.078,LAGUNA WOODS,756.0075788948667,95,51460.22643345957,1.1813689686635178,0.15626354499240458
OSFOR,78,Open Space,open space,0.078,LAKE FOREST,3303.943394927112,109,173939.77161579396,3.9931236771572025,0.12085884131094676
OSFOR,78,Open Space,open space,0.078,MISSION VIEJO,11525.934391435894,126,692504.9924930295,15.89779069149012,0.1379300502717022
OSFOR,78,Open Space,open space,0.078,NEWPORT BEACH,130.0087677517211,140,9686.79863817814,0.22237918699469553,0.17104869258011496
OSFOR,78,Open Space,open space,0.078,ORANGE CO,94761.16101626148,151,302848677.2533664,6952.476782637963,7.336812780887696
OSFOR,78,Open Space,open space,0.078,RANCHO SANTA MARGARITA,8280.210526037783,170,842654.4330325885,19.34476133288413,0.2336255085916629
OSFOR,78,Open Space,open space,0.078,SAN CLEMENTE,11739.016173821115,186,3891362.8820518698,89.33375683081026,0.760995624960126
OSFOR,78,Open Space,open space,0.078,SAN JUAN CAPISTRANO,9220.309393249185,205,215291.98453894324,4.9424436572420785,0.0536036663922135
OSWET,79,Open Space,open space,0.078,ALISO VIEJO,4298.475848550746,11,573776.575777043,13.17215038774636,0.3064364710491171
OSWET,79,Open Space,open space,0.078,LAGUNA BEACH,5632.041056195566,51,1006022.8608753282,23.095199379679617,0.41006638212568675
OSWET,79,Open Space,open space,0.078,LAGUNA HILLS,3498.3869598294223,68,95820.08536779252,2.199735276613495,0.06287830657213643
OSWET,79,Open Space,open space,0.078,LAGUNA NIGUEL,9463.77397689814,85,347444.67512326234,7.976264116302393,0.08428172767807515
OSWET,79,Open Space,open space,0.078,LAGUNA WOODS,756.0075788948667,99,9686.801787393888,0.2223792592910303,0.02941483339359584
OSWET,79,Open Space,open space,0.078,LAKE FOREST,3303.943394927112,113,150119.04717614557,3.446272902987505,0.10430745040006066
OSWET,79,Open Space,open space,0.078,MISSION VIEJO,11525.934391435894,129,1131233.3999348013,25.96964933154215,0.22531401421428213
OSWET,79,Open Space,open space,0.078,ORANGE CO,94761.16101626148,155,71290294.22303125,1636.6065056258872,1.7270788386874685
OSWET,79,Open Space,open space,0.078,RANCHO SANTA MARGARITA,8280.210526037783,174,10777399.7259446,247.4160430595233,2.988028536452356
OSWET,79,Open Space,open space,0.078,SAN CLEMENTE,11739.016173821115,190,97761.64349800003,2.2443074964588425,0.01911828458199748
OSWET,79,Open Space,open space,0.078,SAN JUAN CAPISTRANO,9220.309393249185,209,1584490.031735246,36.37503144431559,0.3945083011093731
WATER,80,Water,water,0.797,DANA POINT,4071.5603518392577,35,946698.153598876,21.733286051488772,0.5337805961445198
WATER,80,Water,water,0.797,LAGUNA BEACH,5632.041056195566,58,174563.21851546864,4.007436105841081,0.07115395708460429
WATER,80,Water,water,0.797,LAGUNA NIGUEL,9463.77397689814,92,1979415.8927871103,45.441317963141294,0.4801587221860624
